,Unnamed: 0,Unnamed: 0.1,created_at,id,full_text,source,retweet_count,favorite_count,hashtags,user_screen_name,user_location,user_followers_count,user_verified,user_handle,sentiments
30,30,30,Mar-05,1.37E+18,questionable recruitment practices in zydus cadila’s covid-19 vaccine trial and report:,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1,7,,thecaravanindia,New Delhi,322063,TRUE,The Caravan,-1
31,31,31,Mar-05,1.37E+18,corona vaccine and local reactions to vaccine,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,vijaychowk,"New Delhi, India",690,FALSE,New Delhi News Portal,0
32,32,32,Mar-05,1.37E+18,"viruses are dead and find host cell to replicate, right? covisheild = rna vaccine. covaxin = attenuated vaccine.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,1,,Florilegium_FD,"Visakhapatnam, India.",1061,FALSE,Ravi Teja Mandapaka,0
33,33,33,Mar-05,1.37E+18,to fight corona recieved the dose of vaccine today at baramulla.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,2,"Unite,first,Covid",TajamulSheikh4,Jammu And Kashmir,66,FALSE,Tajamul Sheikh,1
34,34,34,Mar-05,1.37E+18,new story on npr: got questions about johnson & johnson's covid-19 vaccine? we have answers news,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",0,0,,gunshe1,"Hyderabad,India",948,FALSE,Gunshe Ramchandani,0
35,35,35,Mar-05,1.37E+18,people with asthma eligible for vaccine are being refused one – wales online,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,reuelek,"Hyderabad, Telangana, India",139,FALSE,Reuel Emmanuel,-1
36,36,36,Mar-05,1.37E+18,over 1.8 crore vaccine doses administered in india,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,1,,DKashmirimages,Jammu And Kashmir,3097,FALSE,Kashmir Images,0
37,37,37,Mar-05,1.37E+18,"after masks, ventilators and vaccines, welcome to the world's latest covid-19 scramble: to get enough syringes. one indian company is betting big my newest","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",34,61,,Karan_Singhs,New Delhi,3787,TRUE,Karan Deep Singh,1
38,38,38,Mar-05,1.37E+18,at this point i’m not sure what’s more difficult: trying to get my mom covid vaccine appointment or win shoe raffle against bots,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,9,,scottroth22,MA,365,FALSE,Scott Roth,0
39,39,39,Mar-05,1.37E+18,updated: lt governor takes first dose of covid-19 vaccine,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,DKashmirimages,Jammu And Kashmir,3097,FALSE,Kashmir Images,0
40,40,40,Mar-05,1.37E+18,"to be sure, efficacy can be described to what extent, vaccine shot can protect people against any kind of infection, be it viral or bacterial.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",3,10,,FinancialXpress,"New Delhi, India",713864,TRUE,FinancialXpress,1
41,41,41,Mar-05,1.37E+18,my parents took their vaccine today. no side effects day-1 encourage everyone eligible to go ahead and get the,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,8,"COVID19,vaccination,vaccine",nikhilkarani1,Mumbai,442,FALSE,Nikhil Karani,1
42,42,42,Mar-05,1.37E+18,"reservation bharat biotech for example. its hyderabad based company and put us on the world map by developing vaccine for covid-19 indigenous. do you think if they had to limit themselves to having 75% employees from telangana, will they have been able to develop vaccine?","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0,,bkmshr,"WEST BENGAL,INDIA",2659,FALSE,bijay mishra,1
43,43,43,Mar-05,1.37E+18,health department adds first dose covid-19 vaccine appointments to the schedule,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",0,0,,chattanooganoos,Chatta,70,FALSE,Chattanooga News,0
44,44,44,Mar-05,1.37E+18,list of private hospitals that can give covid-19 vaccine in mumbai,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,Ashokkshekhawat,"Mumbai, India ",2161,FALSE,Ashok Shekhawat 🇮🇳,0
45,45,45,Mar-05,1.37E+18,"made in india vaccine arrives at lesotho, stronger together.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,"VaccineMaitri,CovidVaccine,Covid_19,CoronaVaccine",Ankit191999,"New Delhi, India",28,FALSE,Ankit verma,1
46,46,46,Mar-05,1.37E+18,"bharat biotech's nasal vaccine for covid-19 likely to be game-changer, to start phase 1 human trials. it will be cheaper, cost effective, non-invasive, needle-free, single dose and safe for both children and adults. wishing god-speed success.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",662,1963,,ajayrdave,India,4903,FALSE,Ajay Dave,1
47,47,47,Mar-05,1.37E+18,additional deputy commissioner (development) vishesh sarangal today took the second dose of the vaccine at the civil hospital jalandhar.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,4,Covid19,DproJalandhar,"Jalandhar, India",2191,FALSE,DPRO Jalandhar,0
48,48,48,Mar-05,1.37E+18,madhya pradesh: prominent vocalist padmabhushan gokulotsavji maharaj received corona vaccine at verma union hospital on dhar road in indore on friday,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,5,,fpjindia,India,21222,TRUE,Free Press Journal,0
49,49,49,Mar-05,1.37E+18,govt thinking of making covid-19 vaccine available at phcs and chcs says,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,0,,udayavani_web,Manipal,65623,FALSE,Udayavani,0
50,50,50,Mar-05,1.37E+18,coronavirus vaccines may reduce or eliminate symptoms of long covid,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,You_Deeptech,"Surat, India",58,FALSE,Deep_Tech,1
51,51,51,Mar-05,1.37E+18,"cowin covid-19 vaccine: how to register for vaccination appointment on cowin portal, aarogya setu app – the indian express","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,reuelek,"Hyderabad, Telangana, India",139,FALSE,Reuel Emmanuel,0
52,52,52,Mar-05,1.37E+18,"covid-19 antibodies, vaccines less effective against coronavirus variants: study","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,3,,DailyExcelsior1,Jammu and Kashmir,36088,FALSE,Daily Excelsior,-1
53,53,53,Mar-05,1.37E+18,over 1.8 crore vaccine doses administered in india | india news – times of india,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,You_Deeptech,"Surat, India",58,FALSE,Deep_Tech,0
54,54,54,Mar-05,1.37E+18,countries that have received the covid-19 vaccine from atmanirbhar india. [not oc],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,2,"ModiHaiBemisal,ModiHaiToMumkinHai",narendra52,Kolkata,2959,FALSE,Naren Mukherjee,0
55,55,55,Mar-05,1.37E+18,a report on and vaccine-related misinformation found that india's low vaccination numbers is mainly due to misinformation. |,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",4,4,COVID19,QuintFit,"Noida, India",9832,TRUE,Quint Fit,-1
56,56,56,Mar-05,1.37E+18,ladies are currently talking more of vaccine than waxing,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,4,,jayantgajria,Mumbai,949,FALSE,Jayant UnKill,0
57,57,57,Mar-05,1.37E+18,happy to share that & my husband mr r.k. malik took first dose of vaccine today. appeal to all eligible people to come forward and get vaccinated for,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4,78,"Covid19,CovidFree,Chandigarh",RajBalaMalik,"Chandigarh, India",8189,FALSE,Raj Bala Malik,1
58,58,58,Mar-05,1.37E+18,the cumulative number of vaccine doses administered in india has crossed 1.8 cr on friday. via,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,NELiveTV,"Guwahati, India",9921,FALSE,Northeast Live,0
59,59,59,Mar-05,1.37E+18,minister balbir singh sidhu gets jab of covid vaccine .. via,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,Babushahikhabar,India,2187,FALSE,Babushahi.com,0
60,60,60,Mar-05,1.37E+18,". total of 140 retired railway employees and their dependents above 60 years are vaccinated with covid19 vaccine at central hospital at mancheswar, bhubaneswar.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",6,22,,EastCoastRail,Bhubaneswar,42424,FALSE,East Coast Railway,0
61,61,61,Mar-05,1.37E+18,china is vicious. they not only want to grab land but also cyber space. chinese hackers recently attempted to hack power grid & vaccine unit. the world must get together and deal with this chinese menace in the same way they dealt with hitler,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,sgsura1,Kolkata,133,FALSE,Surajit Sen Gupta - Chowkidar,-1
62,62,62,Mar-05,1.37E+18,vaccine maitri: bangladesh only country in the world to receive 9 million vaccine doses; pm modi to visit dhaka,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,SaroshJ,DELHI,67,FALSE,Sarosh (Alwin),1
63,63,63,Mar-05,1.37E+18,"saif ali khan was spotted at vaccine center in bkc, mumbai where he is said to have taken his first shot of the vaccine.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,0,,News18Lifestyle,New Delhi,1517,TRUE,News18 Lifestyle,0
64,64,64,Mar-05,1.37E+18,do you know covid vaccine has 2 doses getting only the first dose is not sufficient both doses need to be taken as per the prescribed schedule to develop the antibodies,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9,40,"JanAndolan,LargestVaccinationDrive",SpokespersonMoD,New Delhi,446436,TRUE,A. Bharat Bhushan Babu,0
65,65,65,Mar-05,1.37E+18,big boost to india’s covid vaccination drive: covaxin shows 81% interim efficacy,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",1,0,,iamrashed,"Dhaka,bangladesh",315,FALSE,Rashedujjaman Rashed,1
66,66,66,Mar-05,1.37E+18,i had the jab - astrazeneca - yesterday and feeling okay this morning. weirdly fatigue and minor sore muscles which felt like have ran 10k. who knew we would be getting the vaccine just under year of the lockdown?,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,10,,craigbutcher,a n y w h e r e .,1091,FALSE,Craig Butcher,0
67,67,67,Mar-05,1.37E+18,hc has directed the institute and bharat to file the affidavits disclosing their capacity to manufacture the and vaccine respectively on daily/ weekly/ monthly basis [read order],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",6,5,"Delhi,Serum,Biotech,COVAXIN,COVISHIELD",TheLeaflet_in,"New Delhi, India",22989,FALSE,The Leaflet,0
68,68,68,Mar-05,1.37E+18,"'donating, selling but not vaccinating our own': what hc said on covid vaccines","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,"vaccine,VaccineMaitri,COVID,VaccinationCovid,CovidPolitics",ShibuCheruvelil,New Delhi,1492,FALSE,Shibu Cheruvelil,0
69,69,69,Mar-05,1.37E+18,"coronavirus in pune: pmc's covid-19 tally rises by 830, five fatalities recorded on march 5","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,3,"Pune,COVID",fpjindia,India,21222,TRUE,Free Press Journal,0
70,70,70,Mar-05,1.37E+18,"lucknow: after gap of 13 days, the number of fresh covid-19 cases dropped to single digit on friday with just seven persons testing positive for the novel coronavirus infection. earlier, on february 19, eight cases were reported in 24 hours.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,13,,TOILucknow,Lucknow,34990,TRUE,TOI Lucknow News,0
71,71,71,Mar-05,1.37E+18,"nearly 14 lakh (13,88,170) vaccine doses were given on thursday march 4th in india . great momentum building, we will cross 25 lakhs per day soon at this rate . well done india. read more at:","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",7,69,,Ajay_Bagga,"Mumbai,India",78653,FALSE,Ajay Bagga,1
72,72,72,Mar-05,1.37E+18,rajnikanth had jab of . the vaccine felt the side effects.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",17,176,CovidVaccine,madversity,New Delhi,237844,TRUE,Madhavan Narayanan,0
73,73,73,Mar-05,1.37E+18,"so when the vaccine was just coming out said i’ll be the first one in my family to get vaccinated bcz i’ll be travelling to different countries, guess what ? everyone in my family got their vaccine dose except me sed life","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1,,tweets_24x7,वसुधैव कुटुम्बकम्,1625,FALSE,माथापच्ची 🇮🇳,1
74,74,74,Mar-05,1.37E+18,high court asks centre why it was donating or selling vaccines to foreign countries at time when the drive to inoculate indian citizens was not optimised | reports in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4,17,"Delhi,COVID19",utkarsh_aanand,Delhi/Noida ,33906,TRUE,Utkarsh Anand,0
75,75,75,Mar-05,1.37E+18,parents went for as per scheduled appointment on today. as per the vaccine centre feedback... there is no stock of vaccines arrived there. then for what the appointment was registered ? just to see the hospital building?,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,vaccination,nijoshi,"Ahmedabad, India",667,FALSE,Nishit Joshi 🇮🇳,-1
76,76,76,Mar-05,1.37E+18,poonawalla said that the recent invocation of the us defence production act to preserve vaccine raw materials for its own companies went against the global goal of sharing vaccines equitably,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2,24,CoronavirusVaccine,bsindia,India,2072056,TRUE,Business Standard,-1
77,77,77,Mar-05,1.37E+18,"'donating, selling but not vaccinating our own', delhi hc questions limiting access to covid vaccine [read order]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1,"Law,Latest,LatestLaws,LegalNews,India,IndianNews,News,Legal,DelhiHighCourt,COVID19,vaccination,vaccine,Donation",latestlaws,India,12683,FALSE,LatestLaws.com,0
78,78,78,Mar-05,1.37E+18,ema starts rolling review of the sputnik covid-19 vaccine,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,RavindraSoni1,Bhopal,410,FALSE,"Ravindra Soni, editor, businessfortnight.com",1
79,79,79,Mar-05,1.37E+18,everybody getting the vaccine today want that shit.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1,,Karma_King16,Nanda Parbat,258,FALSE,Vaughn C,1
80,80,80,Mar-05,1.37E+18,getting my vaccine 1st jab on tuesday ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6,408,,bahl65,India,10405,FALSE,Varun Bahl🇮🇳,0
81,81,81,Mar-05,1.37E+18,"*more than 1.8 cr covid19 vaccine doses administered across the country* *nearly 14 lakh vaccination doses given in the last 24 hours* *maharashtra, punjab, haryana, gujarat, mp and delhi exhibiting steep rise in daily new cases*","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,1,,Nitendradd,New Delhi,1854,FALSE,Nitendra Singh नितेन्द्र सिंह,0
82,82,82,Mar-05,1.37E+18,"getting myself covid 1st dose vaccination at parmeshwari devi hospital in vasant kunj, new delhi. really proud our vaccine is one of the best in the world right now! excellent work by","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,11,"SurinderKhanna,IndiaFightsCorona",SurinderKhanna3,"New Delhi, India",853,FALSE,Surinder Khanna,1
83,83,83,Mar-05,1.37E+18,"faster driving, more traffic deaths in pandemic year; disparities in vaccine access favor the wealthy: live covid-19 updates","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,ATDUX_COM,India,324,FALSE,ATDUX.COM,1
84,84,84,Mar-05,1.37E+18,"total of one lakh 37 thousand 973 health care workers took 2nd dose of vaccine. so far, seven lakh 38 thousand 738 beneficiaries inoculated with vaccine doses.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",5,50,"Bihar,COVID19",airnewsalerts,"New Delhi, India",2630661,TRUE,All India Radio News,0
85,85,85,Mar-05,1.37E+18,when taking the vaccine just to stay alive but are dead inside,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,2,,u_s6313,"Ranchi, India",32,FALSE,Umakant Tripathi Shukla,0
86,86,86,Mar-05,1.37E+18,first dose of covid-19 vaccine taken today. urge all to get vaccinated and help in keeping the society safe.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,"covidsafe,covidvaccine",pritamnath4u,"Bongaigaon, India",97,FALSE,Pritam Nath,1
87,87,87,Mar-05,1.37E+18,"after india jabs millions, its covid-19 vaccine shows potency","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,4,,tuhins,"Mumbai, New Delhi",7432,TRUE,Tuhin A. Sinha तुहिन सिन्हा,1
88,88,88,Mar-05,1.37E+18,covax offers hope of vaccine equality with roll out across africa,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,rajasekharaa,"Hyderabad, India",334,FALSE,Subhodayam Subbarao,1
89,89,89,Mar-05,1.37E+18,"eu, italy halt astrazeneca vaccine shipment to australia | cbc news","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,satarknews,India,144,FALSE,Satark News,0
90,90,90,Mar-05,1.37E+18,mukesh ambani & nita ambani told all the employees to take corona vaccine reliance will bear all the costs including their parents & children's vaccination too. for those don't know reliance industries has 200000 employees which means 1.2m vaccination. great work,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,gauravsharda6,"Surat, India",116,FALSE,Gaurav Sharda,1
91,91,91,Mar-05,1.37E+18,more than 1.8 cr covid19 vaccine doses administered across the country read story,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,"coronavirus,Covid_19,CovidVaccine,India,TenNewsDotIn",TenNewsDotIn,"New Delhi, India",4587,FALSE,Ten News Network,0
